"id";"user_id";"jenis";"tipe";"kondisi";"merk";"tahun_peroleh";"nib";"nomor_seri";"lokasi";"status";"bukti_rusak_berat";"created_at";"updated_at"
"344";"1";"PC";"Optiplex 3020 Micro";"Baik";"DELL";"2010";"-";"6P72Y42";"IPDS-Ruang Pegawai";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"345";"250";"Printer";"Laserjet 2055";"Baik";"HP";"2010";"-";"CNCJ407425";"Nerwilis-Ruang Pegawai";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"346";"5";"Laptop";"Thinkpad";"Rusak Ringan";"LENOVO";"2009";"-";"XHWGK";"Umum-Ruang Pegawai Umum";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"347";"5";"Laptop";"V330-14IKB";"Baik";"LENOVO";"2019";"0";"MP1DWLN7";"Umum-Ruang Pegawai Umum";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"348";"202";"Headset/Earphone";"Sport Bluetooth";"Baik";"Vivan";"2020";"3060102118";"-";"Statistik Distribusi-Ruang Pegawai";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"349";"205";"Printer";"MX537";"Baik";"CANON";"2015";"054011700428701000KD.2015";"010006761976";"Statistik Distribusi-Ruang Pegawai";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"350";"205";"UPS";"VESTA 625/625L";"Rusak Berat";"VEKTOR ABLEREX";"2013";"-";"MA311041990";"Statistik Distribusi-Ruang Pegawai";"Tidak digunakan";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"351";"205";"PC";"Optiplex 780";"Baik";"DELL";"2016";"-";"G3BH32S";"Statistik Distribusi-Ruang Pegawai";"Tidak digunakan";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"352";"249";"Tablet";"Galaxy Tab S4";"Baik";"Samsung";"2016";"RR2K9006R7J";"SM-T835";"Ruang Kepala BPS";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"353";"249";"PC";"EEETOP.2013IUTIB041C";"Baik";"ASUS";"2014";"310010200186";"E9PTBX003546";"Ruang Kepala BPS";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"354";"186";"Laptop";"Zenbook";"Baik";"ASUS";"2016";"-";"EDU7LCUU";"Ruang Kepala BPS";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"355";"249";"PRINTER";"Image Class LBP7018C";"Baik";"CANON";"2013";"-";"MJLA5033773";"Ruang Kepala BPS";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"356";"196";"Headset/Earphone";"WIRELESS";"Baik";"VIVAN";"2020";"054011700428701000KD.2020";"306010211B";"Nerwilis-Ruang Pegawai";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"357";"196";"PC";"Think Centre M710t";"Baik";"LENOVO";"2016";"-";"71Y3517";"Nerwilis-Ruang Pegawai";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"358";"5";"Laptop";"Ideapad V330-14IKB";"Rusak Ringan";"LENOVO";"2018";"-";"MP1DWLZD";"Umum-Ruang Pegawai Umum";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"359";"244";"Laptop";"ThinkPad T14 Gen 1";"Baik";"LENOVO";"2021";"0000000000000";"PF-2J7X4G";"Umum-Ruang Pegawai Perencanaan";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"360";"5";"PC";"Optiplex 3040 Micro";"Baik";"DELL";"2016";"-";"1QFL7C2";"Umum-Ruang Pegawai Umum";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"361";"5";"UPS";"NV 600 H";"Baik";"EATON";"2011";"-";"439901211";"Umum-Ruang Pegawai Umum";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"362";"5";"Laptop";"Probook";"Baik";"HP";"2018";"054011700428701000KD.2018";"3100102002";"Umum-Ruang Pegawai Umum";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"363";"273";"PC";"Optiplex 780";"Baik";"DELL";"2011";"310010200132";"GGMH32S";"Statistik Distribusi-Ruang Pegawai";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"364";"273";"PC";"Optiplex 780";"Rusak Ringan";"DELL";"2011";"-";"-";"Statistik Distribusi-Ruang Pegawai";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"365";"215";"PC";"ThinkCentre M720t";"Baik";"Lenovo";"2019";"3100102001177";"PC18JDEG";"IPDS-Ruang Pengolahan";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"366";"215";"UPS";"PSA600-SOHO";"Baik";"EMERSON";"0";"-";"24171400451SH";"IPDS-Ruang Pengolahan";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"367";"215";"PC";"Optiplex 780";"Rusak Berat";"DELL";"0";"-";"C1BH32S";"IPDS-Ruang Pengolahan";"Tidak Digunakan";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"368";"215";"PC";"Optiplex 780";"Rusak Berat";"DELL";"0";"-";"63BH32S";"IPDS-Ruang Pengolahan";"Tidak Digunakan";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"369";"255";"Laptop";"VIVO BOOK A442U";"Baik";"ASUS";"2018";"-";"J2N0CV08H163089";"Statistik Sosial-Ruang Pegawai";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"370";"215";"PC";"ThinkCentre M720t";"Baik";"Lenovo";"2019";"3100102001188";"PC18RHSO";"IPDS-Ruang Pengolahan";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"371";"215";"UPS";"Back-UPS 650";"Baik";"APC";"2019";"-";"9B1928A05741";"IPDS-Ruang Pengolahan";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"372";"215";"PC";"ThinkCentre M720t";"Baik";"Lenovo";"2019";"3100102001191";"PC18RE05";"IPDS-Ruang Pengolahan";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
"373";"215";"UPS";"PSA600-SOHO";"Baik";"EMERSON";"0";"-";"24171407443SH";"IPDS-Ruang Pengolahan";"Operasional";NULL;"2021-11-11 04:05:50";"2021-11-11 04:05:50"
